DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
6/3/2019,Sudan,Khartoum,,Northern Africa,Africa,,650,118,"Unarmed protestors were attacked by security forces and paramilitary forces during a sit in. The opposition says 118 people were killed, but the authorities put the death toll at 62. The exact number of deaths is difficult to say because a lot of bodies were dumped in the Nile. Hundreds of people became injured and a lot of people were raped. More people were killed in violence the next days across the country. ","15.5635972,32.5349123",,2019
6/3/2019,Lebanon,North Governorate,Tripoli,Western Asia,Asia,Islamic State,0,4,"A militant attacked a security patrol in Tripoli, Lebanon, with a bomb and then opened fire killing 2 policemen and 2 soldiers. The attacker then detonated his explosives after he was holed up in a building. He had previously been charged for belonging to the Islamic State. ","34.4289881,35.83701154808762",Explosion,2019
6/2/2019,Germany,Hesse,Kassel,Western Europe,Europe,Combat 18,0,1,"The CDU politician Walter Lubcke was shot dead in front of his residence in Wolfhagen, Kassel. A suspect from the far right milieu was arrested. Lubcke was well known for his pro migrant views. Authorities suspect the incident to be a right wing attack. ","51.3154546,9.4924096",,2019
6/2/2019,Syria,,,,,Islamic State,45,22,22 civilians were killed and over 45 wounded in a car bomb attack near a market and a mosque in the city of Azaz in northern Syria. ,"34.6401861,39.0494106",Explosion,2019
5/26/2019,Nepal,Central Region,Kathmandu,Southern Asia,Asia,Communist Party,7,4,Four perpetrators were killed and 7 others injured in 3 separate accidental explosions by a splinter group of former Maoist rebels in the capital Kathmandu. ,"27.708317,85.3205817","Explosion,Accident",2019
5/24/2019,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,20,3,"Three people, including a senior Muslim preacher, were killed and at least 20 wounded after an explosion in a mosque during Friday prayers in the Afghan capital, Kabul. ","34.5260109,69.1776838",Explosion,2019
5/24/2019,France,Auvergne-Rhône-Alpes,Lyon,Western Europe,Europe,Islamic State,13,0,"A 24 year old Algerian man riding a bike dropped a bomb in front of a bakery. Minutes later, the bomb exploded, injuring 13 people. The suspect told investigators that he had pledged allegiance to the Islamic State. ","45.7578137,4.8320114",Explosion,2019
5/11/2019,Pakistan,Balochistan,Gwadar,Southern Asia,Asia,Baloch Liberation Army,0,5,"Three terrorists wearing security uniform and armed with rifles and grenades attacked a luxury hotel in the southwestern coastal town of Gwadar on Saturday, triggering an intense, hours long shootout in which 8 people, including 4 hotel employees including 1 security guard, 1 navy soldier and all terrorists were killed. Six people were injured when gunmen stormed the Pearl Continental Hotel on Saturday. ","25.1479816,62.3254553","Assault,Explosion",2019
5/8/2019,Pakistan,Punjab,Lahore,Southern Asia,Asia,Jamaat-ul-Ahrar,24,13,"A suicide bombing occurred at the gate for female visitors at the Sufi Data Darbar shrine in Lahore. The attack was claimed by the Hizbul Ahrar or Jamaat ul Ahrar, a splinter group of the Pakistan's Taliban. ","31.5656822,74.3141829",Explosion,2019
5/3/2019,Israel,,,,,Hamas (Islamic Resistance Movement),125,19,Clashes between Gaza and Israel escalated when 2 Israeli soldiers were shot by a Palestinian Islamic Jihad sniper and militants from Gaza fired more than 600 rockets into Israel. This resulted in 4 Israelis dead and reportedly more than 125 injured. In return Israel Defense Forces conducted several operations inside Gaza in which more than 10 militants and 15 civilians were killed and reportedly injured more than 150 people. ,"31.5313113,34.8667654",Assault,2019
5/1/2019,India,Maharashtra,Gadchiroli,Southern Asia,Asia,Naxalite,0,16,15 police personnel and a driver were killed when Naxalites triggered a powerful explosive device near their vehicle. ,"19.759070350000002,80.16228072580182",Explosion,2019
4/27/2019,United States,California,Poway,Northern America,Americas,John T. Earnest,3,1,"A man fired at Jews in the Chabad of Poway synagogue in Poway, California (a city near San Diego). One women was killed and 3 other people injured. The suspect published an anti Semitic and racist open letter on 8chan where he blamed Jews for a supposed white genocide and other ills. He was inspired by Australian terrorist Brenton Harrison Tarrant, perpetrator of the Christchurch mosque shootings at Al Noor Mosque and Linwood Islamic Centre in Christchurch, New Zealand, and Robert Bowers, perpetrator of the Pittsburgh synagogue shooting at Tree of Life Or L'Simcha Congregation in Pittsburgh, Pennsylvania, United States. ","32.9628234,-117.0358646",Assault,2019
4/27/2019,Cameroon,Northwest,Kumbo,Middle Africa,Africa,Ambazonia Defence Forces,1,0,"SDF leader John Fru Ndi was abducted in Kumbo by separatists. He was released shortly afterwards, and the SDF claimed that the whole affair owed to a ""misunderstanding"" that was quickly solved. The next day, a video of John Fru Ndi conversing with his captors surfaced online, shedding light on the purpose of the abduction. ","6.2108889,10.6867788",,2019
4/26/2019,Sri Lanka,Eastern Province,Kalmunai,Southern Asia,Asia,Islamic State,2,1,"During a police raid on a suspected jihadist safe house, at least 3 suicide bombers detonated their explosives, and more militants opened fire on police officers. Six terrorists were killed during the raid, along with 9 of their family members. A civilian was shot dead during the battle, and 2 others are injured. ","7.4131557,81.8269327",Explosion,2019
4/21/2019,Sri Lanka,Western Province,Colombo,Southern Asia,Asia,Islamic State,500,259,"A series of explosions were reported at 3 churches, 3 hotels and 2 other places in several cities in Sri Lanka, including the capital Colombo. At least 253 people, including dozens of foreign nationals, were killed and more than 500 wounded in the bombings. ","6.9387469,79.8541134",Explosion,2019
4/18/2019,Pakistan,,,Southern Asia,Asia,Baloch Liberation Army,0,14,14 people were killed when Baluchistan separatists stopped buses and shot at people who they identified to be Pakistani Navy officers on the Makran Coastal Highway. The attackers who were wearing Frontier Corps uniforms later fled from the scene. ,"30.3308401,71.247499",,2019
4/12/2019,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Lashkar-e-Jhangvi,48,20,"Twenty people including 2 children and 1 Frontier Corps (FC) personnel were killed and several others, including 4 FC personnel, sustained injuries in a suicide attack at a vegetable market in Hazarganji vegetable market of Quetta, the provincial capital of Balochistan. ","30.1957677,67.0172447",,2019
4/9/2019,India,Chhattisgarh,,Southern Asia,Asia,Naxalite,0,5,"In one of the worst poll violence by Maoists, a BJP MLA from Chhattisgarh and four police personnel were killed in an IED explosion in Dantewada when they were returning in their bullet-proof SUV after electioneering on Tuesday, the last day of campaigning in the Bastar Lok Sabha seat that goes to the polls on Thursday.","21.6637359,81.8406351",Explosion,2019
4/9/2019,India,Jammu and Kashmir,,Southern Asia,Asia,,0,2,"Militants killed five Indian paramilitary police on Wednesday in an attack on security forces deployed in a Kashmiri town, a senior police officer said. Three paramilitaries, a local policeman and a woman bystander were wounded, and one militant was killed when the police returned fire, he said.","34.0747444,74.8204443",Assault,2019
4/4/2019,United States,Louisiana,Opelousas,Northern America,Americas,Holden Matthews,0,0,"After the burning of a church on March 26, 2 other churches were burned down in St. Landry Parish. The Greater Union Baptist Church on April 2 and the Mt. Pleasant Baptist Church on April 4. The son of a St. Landry Parish sheriff's deputy has been charged with the burnings. ","30.5335302,-92.081509",,2019
3/24/2019,United States,California,Escondido,Northern America,Americas,John T. Earnest,0,0,"Dar ul Arqam Mosque in Escondido, California, a city north east of San Diego, was set on fire. When the police arrived they found graffiti referencing the Christchurch mosque shootings in Christchurch, New Zealand, that said ""For Brenton Tarrant t /pol/"" a reference to the Australian perpetrator behind the 2 terrorist attacks. The shooter of the Poway synagogue shooting at the Chabad of Poway in Poway, California, 1 month later in April claimed responsibility in his manifesto that he posted on 8chan. ","33.1216751,-117.0814849",Assault,2019
3/23/2019,Mali,Mopti Region,,Western Africa,Africa,Dozo Dogon Militants,0,160,"160 Fulani Herders were killed in an attack launched on the villages, Ogossagou and Welingara near the town of Bankass. The attackers were dressed as Dozo Hunters and the attack appeared to have been ethnically motivated. ","14.514489000000001,-3.646458060483871",,2019
3/20/2019,Italy,Lombardy,Crema,Southern Europe,Europe,,12,0,"A school bus driver in a town in Lombardy doused the bus in petrol and ordered 3 adults on board to tie up 50 children. The police broke the rear window to free those on board before the flames could kill; 12 children were hospitalised with bruising, shock and smoke inhalation. ","45.362828,9.6874573",,2019
3/18/2019,Netherlands,Utrecht,,Western Europe,Europe,Gokmen Tanis,2,4,A man started shooting at random people in a tram. Three people died and 3 others got seriously injured. Four people also got light injuries. One of the injured died of his injuries 10 days later. The police arrested the 37 year old Turkish suspect later on the same day. ,"52.080985600000005,5.12768396945229",Assault,2019
3/17/2019,Gaza,,,,,Palestinian Nationalist,1,2,"Two people, including a rabbi, were killed when a Palestinian gunman opened gunfire after fatally stabbing a soldier in the area of Ariel. Another soldier was seriously injured in the attack. ","31.4432234,34.360007",Assault,2019
3/15/2019,New Zealand,Canterbury Region,Christchurch,Australia and New Zealand,Oceania,Brenton Harrison Tarrant,49,51,"At 13:40 NZDT, an Australian self described ""Ethno nationalist, Eco fascist"" ""Kebab removalist"" ""racist"" terrorist, who wrote a manifesto named after the far right white genocide Great Replacement conspiracy theory by French writer Renaud Camus, opened fire on Muslim worshipers attending Friday Prayer at Al Noor Mosque and Linwood Islamic Centre in Christchurch, New Zealand livestreaming the attack on Facebook Live killing 51 people and injuring 49 others. The shooter had announced the attack on 8chan and spread his manifesto on Twitter, Facebook and 8chan. ","-43.530955,172.6366455",,2019
3/7/2019,India,Jammu and Kashmir,,Southern Asia,Asia,,35,3,"One of the injured in the grenade blast at Jammu bus stand has succumbed to his injuries. Another 28 are undergoing treatment, and 3 are said to be in critical condition.","34.0747444,74.8204443",Explosion,2019
2/28/2019,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,80,29,At least 29 people were killed and 80 others were injured when in 2 suicide car bomb blasts near a hotel in a busy street of Mogadishu. Al Shabaab claimed responsibility for the attack. the sound of gunfire and grenade explosions were reported in buildings near the attack and Al Shabaab attackers are believed to be holed up in the place and a gunfight also ensued between the security forces and the attackers the next day on March 1. ,"2.0349312,45.3419183","Assault,Explosion",2019
2/24/2019,Bangladesh,,,,,Mohammed Polash Ahmed,1,0,A man who wanted to speak with Prime Minister of Bangladesh Sheikh Hasina tried to hijack the aircraft. The perpetrator was shot dead by Bangladeshi special forces. One flight attendant was injured. ,"24.4769288,90.2934413",,2019
2/17/2019,Pakistan,Balochistan,Turbat,Southern Asia,Asia,Baloch Raji Ajoi Sangar,15,0,Six to Nine Frontier Corps personnel were killed and several others were injured in a shooting attack in the Turbat area of Balochistan. A group named BRAS claimed responsibility. ,"26.0027894,63.0505609",Assault,2019
2/14/2019,India,Jammu and Kashmir,Pulwama,Southern Asia,Asia,Jaish-e-Mohammad (JeM),35,40,40 personnel belonging to Central Reserve Police Force (CRPF) were killed when a suicide car bomber rammed an explosive laden vehicle on a convoy in the Pulwama District. Around 2 dozen others were also injured in the attack. Jaish e Mohammed claimed responsibility for the attack. Several other vehicles were damaged in the powerful blast. ,"33.89829355,74.89634093792017",Explosion,2019
2/13/2019,Iran,,,Southern Asia,Asia,Jaish Al Adl,13,27,"A suicide car bomb attack on a bus carrying Iranian paramilitary revolutionary guard soldiers killed 27 soldiers and injured 13 others. Jaish al Adl took responsibility for the attack, which took place somewhere in the Sistan and Baluchestan province. ","32.6475314,54.5643516",Explosion,2019
2/11/2019,Nigeria,Kaduna,Kajuru,Western Africa,Africa,Fulani gunmen  and Adara militia,0,141,"An attack on an Adara settlement named Ungwar Bardi by suspected Fulani gunmen killed 11. Reprisal attack by an Adara militia targeted settlements of the Fulani. The death toll rose to 141 a few days later with 11 Adara and 130 Fulani dying per the government. The governor spoke that the motive was to destroy specific communities. The attacks took place in Kajuru LGA of Kaduna State. Miyetti Allah was reported to have published a list of 131 dead, but later clarified that 66 Fulani were buried and 65 remain missing. ","10.31921,7.689236",Assault,2019
2/4/2019,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,10,11,A car bombing at a shopping mall in the city of Mogadishu left 11 people killed and 10 others injured. Al Shabaab claimed responsibility for the attack. ,"2.0349312,45.3419183",Explosion,2019
1/29/2019,Pakistan,Balochistan,Loralai,Southern Asia,Asia,Taliban,22,9,"9 people including civilians and policemen were killed and 22 others were injured when gunmen and suicide bombers attacked a Deputy Inspector General (DIG) office in Pakistan's Loralai, the Tehrik i Taliban claimed responsibility for the attack. ","30.366865,68.6000654","Assault,Explosion",2019
1/27/2019,Philliphines,,,,,Abu Sayyaf Group (ASG),102,22,"22 people, were killed and 102 others were injured when 2 bombs exploded in a cathedral during Sunday mass in Jolo, Philippines. The Islamic State related branch of Abu Sayyaf terror group Ajang Ajang faction was behind the attack. ",,Explosion,2019
1/21/2019,Afghanistan,,,Southern Asia,Asia,Taliban,0,0,"A defense ministry official stated that 126 security personnel were killed and around 70 others were injured, when the Taliban attacked a military checkpoint in Maidan Shar. The assault begun when an attacker rammed a vehicle full of explosives in the compound, then 2 other attackers stormed the compound and opened gunfire, before being killed. ","33.7680065,66.2385139","Assault,Explosion",2019
1/17/2019,Colombia,Capital District,Bogota,South America,Americas,"Jose Aldemar Rodriguez, aka Mocho Kiko (ELN)",68,20,"In the Colombian capital city of Bogota, 20 people were killed and 68 others were injured when a car entered a police school compound. When it was stopped by guards at a checkpoint, the driver accelerated and hit a wall, and the car exploded. ","4.6533326,-74.083652",Explosion,2019
1/16/2019,Syria,Aleppo Governorate,Manbij,Western Asia,Asia,Islamic State,3,19,"19 people were killed in a suicide bomb attack perpetrated by ISIL. US military announced 4 US personnel were among the dead, 3 US Service members were also wounded. ","36.5269242,37.9559288",Explosion,2019
1/15/2019,Kenya,Nairobi,Nairobi,Eastern Africa,Africa,Al Shabaab,28,21,"At least 1 suicide bomber stormed the luxury complex DusitD2 hotel in Nairobi and detonated his explosives. Several gunmen took hostages and attacked the hotel with firearms. At least 21 people were killed including a British and an American citizen, 28 other people were injured and 5 attackers were also killed. ","-1.2832533,36.8172449","Assault,Explosion,Hostage",2019
1/1/2019,Burkina Faso,,,,,Jihadists and Mossi attackers,0,49,"49 people were killed in both jihadist attacks and ethnic clashes caused by jihadists. The events started when a jihadist group killed 6 people. Afterward, people from the ethnic group of the Mossi retaliated against the Fulani community, committing many acts of violence in which 43 were killed. In total 49 people were killed and many were injured in both of the attacks. A total of 6,103 people are displaced. The events occurred in the area of Barsaloglo. ","12.0753083,-1.6880314",,2019
12/31/2018,United Kingdom,Manchester,,Northern Europe,Europe,Mahdi Mohamud,3,0,Three people including 1 police officer were stabbed in an attack at Victoria Station in Manchester on New Year's Eve. A mentally disturbed man was sentenced to life imprisonment for 3 attempted murders that were considered to have a terrorist connection. ,"53.4794892,-2.2451148",Assault,2018
12/17/2018,Morocco,,,Northern Africa,Africa,Islamic State,0,2,"Two female Scandinavian tourists, 1 Norwegian and 1 Danish citizen, were found brutally murdered in their tent in the Atlas mountains. ","31.1728205,-7.3362482",,2018
12/11/2018,France,Grand Est,Strasbourg,Western Europe,Europe,Cherif Chekatt,12,5,"Five people were killed and 12 others wounded in a shooting attack near a Christmas Market in Strasbourg. The attacker escaped in a taxi after the attack and was injured during an exchange of gunfire with a soldier on Sentinel patrol. The suspect, Cherif Chekatt, has 27 previous convictions in France, Germany and Switzerland. The prosecutor added the suspect shouted ""Allah Akbar"" after his shooting spree. Police were able to identify the attacker thanks to a taxi driver who was taken hostage by Chekatt. The suspect told the driver police found a grenade at his place when a search was being conducted the same morning of the attack. Police then linked both cases. Chekatt was also known to domestic intelligence for being radicalized. The attacker was shot dead by French police 2 days after the attack in Strasbourg, the Islamic State claimed responsibility for the attack. ","48.584614,7.7507127","Assault,Explosion,Hostage",2018
12/6/2018,Iran,Sistan and Baluchestan,Chabahar,Southern Asia,Asia,Ansar Al Furqan,48,2,"A suicide car bomb exploded near a police post in Iran's southeastern port city of Chabahar, leaving 2 police officers dead and 48 other people wounded. The Ansar Al Furqan group claimed responsibility. ","25.2935488,60.6469115",Explosion,2018
11/23/2018,Pakistan,,,Southern Asia,Asia,Islamic State,56,34,"A suicide bomber detonation in a market killed 34 people and wounded around 56 people at a market in the Shi'ite dominated region of Kalaya, Khyber Pakhtunkhwa, northern Pakistan. The Islamic State claimed responsibility. ","30.3308401,71.247499",Explosion,2018
11/23/2018,Pakistan,Sindh,Karachi,Southern Asia,Asia,Baloch Liberation Army,0,4,"Four people were killed in an armed assault on the Chinese consulate in Karachi, Pakistan. ","24.8546842,67.0207055",Assault,2018
11/20/2018,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State,94,55,"A suicide bomber detonated his or her explosives inside a wedding hall in Kabul where hundreds of scholars and clerics had gathered to mark the birthday of Islam's Prophet Muhammad. The suicide bombing killed at least 55 people and injured 94, no group has claimed responsibility yet for the blast, but the Islamic State is suspected, while the Taliban denied any involvement in the attack. ","34.5260109,69.1776838",Explosion,2018
11/20/2018,Belgium,Brussels-Capital Region,Brussels,Western Europe,Europe,Issam T,2,0,A lone wolf terrorist attacked police officers outside a police station. One police officer was wounded and the attacker was shot and injured. The police suspects Islamic terrorism. ,"50.8465573,4.351697",,2018
11/9/2018,Australia,Victoria,Melbourne,Australia and New Zealand,Oceania,Islamic State,2,1,"An Italian man was stabbed to death while 2 others were injured after a Somali man carried out an attack in the Australian city of Melbourne, who also set his car on fire, in the attempt to blow it. The attacker was shot dead by the police. The attack was confirmed to be terror related and ISIS was confirmed responsible for the attack. ","-37.8142176,144.9631608",Assault,2018
11/4/2018,Venezuela,Amazonas,,South America,Americas,National Liberation Army (ELN),10,3,3 Venezuelan Border guards were killed and 10 were wounded in a suspected ELN rebel attack in the Venezuelan state of Amazonas. ,"3.4220146,-65.78662101199382",,2018
11/4/2018,Cameroon,,,Middle Africa,Africa,Ambazonia Defence Forces,80,0,"At least 80 people including 79 children were kidnapped from a school by anglophone separatist militants in the restive region of the northwest Cameroon, Bamenda. While the kidnappers identified as ""Amba Boys"" and the government blamed the separatists, the Ambazonia Self Defence Council claimed that they not only had nothing to do with the kidnappings, but had also sent its own fighters to try to locate the children. ","4.6125522,13.1535811",Hostage,2018
11/2/2018,Egypt,Minya Governorate,,Northern Africa,Africa,Islamic State,14,7,At least 7 Christian Copts were killed and 14 injured when gunmen opened fire on them when they were travelling by bus from the city of Sohag to St. Samuel's monastery. Islamic State claimed responsibility. ,"28.2125404,30.912374098545786",Assault,2018
11/1/2018,India,,,Southern Asia,Asia,United Liberation Front of Assam (ULFA),2,5,"Suspected militants shot dead 5 youths and injured at least 2 more in an attack in Sadiya, India. Police suspect that United Liberation Front of Asom Independent ULFA I was behind the attack. ","22.3511148,78.6677428",,2018
10/27/2018,United States,Pennsylvania,Pittsburgh,Northern America,Americas,Robert Bowers,6,11,"A gunman opened fire inside of a Squirrel Hill (Pittsburgh) synagogue during a Jewish congregation at the Tree of Life synagogue, in Pittsburgh, killing 11 and injuring 6 people. According to witnesses the attacker yelled ""All Jews must die!"" A group of police officers were also shot during the incident. He was subsequently arrested. ","40.4416941,-79.9900861",Assault,2018
10/24/2018,United States,Kentucky,,Northern America,Americas,Gregory Alan Bush,0,2,"On October 24, 2018, 2 elderly victims, both African Americans, were killed while shopping at a Kroger store in Jeffersontown, Kentucky by a white gunman, who would be later charged in state court with 2 counts of murder and 10 counts of wanton endangerment, and held on $5 0 bail. ","37.5726028,-85.1551411",Assault,2018
10/22/2018,United States,,,,,Cesar Alteri Sayoc Jr.,0,0,"A registered Republican Party member from Aventura, Florida sends various mail bombs to various Democratic Party politicians and liberal media personalities and individuals including the CNN Headquarters across the United States. The perpetrator would be arrested on October 26, 2018 and 1 year later in 2019 plead guilty to 65 felony counts such as using weapons of mass destruction in a terrorist attack. ","39.7837304,-100.445882",Explosion,2018
10/20/2018,Philippines,Antique,Sagay,South-Eastern Asia,Asia,Revolutionary Proletarian Army,0,9,"Nine farmers belonging to the National Federation of Sugar Workers were killed, including 4 women and 2 children, while they were eating dinner in a makeshift tent on a farm in Sagay, Negros Occidental. ","10.8960681,123.4154617",,2018
10/7/2018,Gaza,,,,,Palestinian Nationalist,1,2,A Palestinian gunman opened fire with an improvised submachine gun on a factory workers in the West Bank industrial zone of Barkan. The attacker fled the scene. ,"31.4432234,34.360007",Assault,2018
9/22/2018,Iran,Khuzestan Province,Ahvaz,Southern Asia,Asia,Islamic State,70,25,"Gunmen opened fire during an Iranian military parade in the south western city of Ahvaz killing at least 25 and wounding at least 70 people, all 4 attackers were killed and 1 other attacker was later killed, the Islamic State of Iraq and the Levant claimed responsibility and posted videos of the attackers. ","31.3231643,48.6792538",Assault,2018
9/12/2018,China,,,Eastern Asia,Asia,,44,15,"Eleven civilians were killed and other 44 were injured after a man plowed into a crowded square in southern China and the driver attacked people with a knife and spade seeking revenge on society. The attacker, Yang Zanyun, was sentenced to death and executed. ","35.000074,104.999927",Assault,2018
9/11/2018,Afghanistan,,,Southern Asia,Asia,Islamic State,165,68,"68 people were killed and at least 165 were injured when a suicide bomber targeted a gathering of protesters in the eastern Afghan area of Momand Dara District, the Islamic State is suspected, while the Taliban denied that this was anything to do with them. ","33.7680065,66.2385139",Explosion,2018
9/10/2018,Libya,Tripoli District,Tripoli,Northern Africa,Africa,Islamic State,10,2,Two people died and 10 were injured when masked men attacked the headquarters of the National Oil Corporation (NOC) in the capital Tripoli 2 attackers were also killed and Islamic State claimed responsibility for the attack. ,"32.896672,13.1777923",,2018
9/5/2018,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State,91,26,"26 people were killed and 91 were injured in a blast in a Kabul Wrestling club killing 4 then another attacker exploded when emergency forces arrived, in total 26 were killed and 91 were injured, among the dead were 2 journalists and the Islamic State claimed responsibility for the bombing. ","34.5260109,69.1776838",Explosion,2018
9/2/2018,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,14,7,"A suicide car bombing hit a government office in Mogadishu, causing a nearby school to collapse and killing at least 7 and injuring 14. ","2.0349312,45.3419183",Explosion,2018
9/2/2018,Philippines,Sultan Kudarat,,South-Eastern Asia,Asia,Bangsamoro Islamic Freedom Fighters,15,2,A bomb blast in an internet cafe in Southern Philippines killed at least 2 and injured 15. The attack was blamed on the Bangsamoro Islamic Freedom Fighters. ,"6.5556705,124.3271496",Explosion,2018
8/31/2018,Netherlands,North Holland,Amsterdam,Western Europe,Europe,Jawad S,2,0,An Afghan teenager stabbed and injured 2 Americans in Amsterdam Central Station. The attacker was shot and injured. Police said that the attacker had terrorist motives. ,"52.3727598,4.8936041",Assault,2018
8/28/2018,Philippines,Bukidnon,Isulan,South-Eastern Asia,Asia,Bangsamoro Islamic Freedom Fighters,36,2,"Two civilians were killed and other 36 injured for the explosion of a homemade bomb during a street festival, this in the municipality in Sultan Kudarat province, southern Philippines. ","6.6340869,124.5971379",Explosion,2018
8/20/2018,Spain,,,Southern Europe,Europe,,0,0,"An Algerian man armed with a knife was shot dead in a police station in Cornella de Llobregat, Barcelona, after shouting ""Allahu Akbar"" and trying to attack a group of police officers. The Catalan police treated the incident as a ""terrorist attack"". ","39.3260685,-4.8379791",Assault,2018
8/15/2018,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State,67,48,A suicide bombing in an educative academy of Kabul left at least 48 killed and 67 injured. ,"34.5260109,69.1776838",Explosion,2018
7/31/2018,Philippines,Bohol,Lamitan,South-Eastern Asia,Asia,Abu Sayyaf Group (ASG),12,9,"A bomb exploded in a van and killed a suspected bomber, a soldier, 4 paramilitaries and 4 civilians, including a mother and her child, at a military checkpoint in the city of Lamitan in the province of Basilan in the southern Philippines. Twelve others were wounded in the attack. ","6.6580883,122.1369469",Explosion,2018
7/29/2018,Tajikistan,Khatlon Province,Danghara,Central Asia,Asia,Islamic State,2,4,"Two Americans, a Swiss and a Dutch national were killed and 2 others injured in a terrorist attack in the Danghara district of the Khatlon region in Tajikistan. First a car hit the cyclists and then the occupants of the vehicle got out and stabbed and shot the tourists. Members of the security forces later killed 4 people suspected of being involved in the attack. ","38.0954432,69.3321224",Assault,2018
7/28/2018,Cameroon,,,Middle Africa,Africa,Ambazonia Defence Forces,0,0,"At least 50 separatist fighters stormed the premises of the Ndop central prison and broke out central prison and freed 163 inmates.Cameroonian forces were unable to prevent the separatists from burning down the prison.During the raid, the separatists seized weapons and ammunition from the prison before retreating. ","4.6125522,13.1535811",,2018
7/25/2018,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Islamic State,40,31,"At least 31 people, including 5 policemen and 2 children, were killed and 40 others wounded after a suicide bomber blew himself up outside a polling station in the Pakistani city of Quetta. ","30.1957677,67.0172447",Explosion,2018
7/25/2018,Syria,As-Suwayda Governorate,,Western Asia,Asia,Islamic State,180,255,"Islamic state militants carried out suicide bombings and gun attacks in the city of As Suwayda and a number of villages in the southern Syrian governorate of As Suwayda, killing 255 people, including 142 civilians, and injuring 180 others. At least 63 terrorists were also killed, including the suicide bombers. The jihadists also seized hostages from the villages they had attacked. ","32.77055,36.877633454255","Assault,Explosion,Hostage",2018
7/22/2018,Pakistan,Khyber Pakhtunkhwa,Kulachi,Southern Asia,Asia,Taliban,3,3,"A suicide bombing in Kulachi in the Dera Ismail Khan district in northwestern Pakistan killed a candidate running for a seat in the provincial assembly, his driver and a guard and injured 3 other people. ","31.9299926,70.4592265",Explosion,2018
7/13/2018,Pakistan,Balochistan,Mastung,Southern Asia,Asia,Islamic State,186,149,"At least 149 people, including the Balochistan Awami Party candidate Nawabzada Siraj Raisani, were killed and 186 others injured when a suicide bomber detonated his explosives in Mastung in the Pakistani province of Balochistan. ","29.800043,66.8500394",Explosion,2018
7/13/2018,Pakistan,Khyber Pakhtunkhwa,Bannu,Southern Asia,Asia,Ittehad-ul-Mujahideen,37,5,At least 5 people were killed and 37 others injured when explosives fitted to a motorbike detonated at an election rally in Bannu in the Pakistani province of Khyber Pakhtunkhwa. ,"32.898866600000005,70.68663999168523",Explosion,2018
7/10/2018,Pakistan,Khyber Pakhtunkhwa,Peshawar,Southern Asia,Asia,Taliban,75,22,"A suicide bombing at an election rally in the northwestern Pakistani city of Peshawar killed at least 22 people, including prominent local politician Haroon Bilour. The attack at a campaign event organised by the Awami National Party also injured at least 75 people. ","34.0123846,71.5787458",Explosion,2018
7/7/2018,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,24,20,At least 20 people were killed and 2 dozen others wounded when fighters of the Somali group Al Shabaab attacked the compound of Somalia's interior and security ministries in the center of Mogadishu. The attack started when the terrorists detonated 2 car bombs outside the main gate of the interior ministry building before 3 militants stormed it. All 3 gunmen were killed by the security forces. ,"2.0349312,45.3419183","Assault,Explosion",2018
7/1/2018,Afghanistan,,,Southern Asia,Asia,Islamic State,20,20,"A suicide bomber detonated his explosives in the center of the eastern Afghan city of Jalalabad, killing at least 20 people, including several members of the small Sikh minority, and injuring 20 others. ","33.7680065,66.2385139",Explosion,2018
6/23/2018,Zimbabwe,Bulawayo Province,Bulawayo,Eastern Africa,Africa,,47,2,"Two people were killed and at least 47 others, including Zimbabwe's Vice President Kembo Mohadi, injured in a grenade attack on the President of Zimbabwe, Emmerson Mnangagwa, in the city of Bulawayo in Zimbabwe. ","-20.1560599,28.5887063",Explosion,2018
5/29/2018,Belgium,Wallonia,Marche-en-Famenne,Western Europe,Europe,Islamic State,4,4,"A man who shouted ""Allahu Akbar"" stabbed 2 female police officers, then took their guns and used them to shoot and kill the 2 officers and a pedestrian in Liege, Belgium. The gunman took a woman hostage before he was killed by police. Four other police officers were wounded, 1 of whom was seriously injured. Before the attack, the attacker also killed a man in Marche en Famenne, repeatedly hitting him with a hammer. ","50.2265147,5.3407365","Assault,Hostage",2018
5/16/2018,Indonesia,Riau,Pekanbaru,South-Eastern Asia,Asia,Islamic State,4,4,"Terrorists drove a vehicle into the entrance of the Riau province police headquarters in Pekanbaru, on the island of Sumatra, and began attacking officers with samurai swords, killing an officer and injuring 2 other policemen and 2 journalists. The police then shot and killed 4 attackers. ","0.5262455,101.4515727",,2018
